time,ele,lat,lon,speed,encoding_latency,network_latency,total_latency,number_of_satellites,image_sequence_number,stream_id,x_merc,y_merc,antennas,buildings,avg_build_height
2018-12-27 20:08:16,0.0,37.29335100000002,126.97798925000008,0.4655450764042711,70.30357142857143,358.05357142857144,428.35714285714283,10.0,36.5,2.4464285714285716,14135125.105263773,4480075.395200794,0,2,0.0
2018-12-27 20:08:17,0.0,37.293350809523815,126.97799069047625,0.4655450764042711,71.21428571428571,475.1666666666667,546.3809523809524,10.0,85.5,2.5952380952380953,14135125.265616847,4480075.368547686,0,2,0.0
2018-12-27 20:08:18,0.0,37.29335021052632,126.9779923947368,0.5940071154128587,70.63157894736842,370.6842105263158,441.3157894736842,10.0,125.5,2.8947368421052633,14135125.455334265,4480075.284730686,0,2,0.0
2018-12-27 20:08:19,0.0,37.29335341025641,126.97799138461545,1.3221135367251104,72.71794871794872,231.51282051282053,304.2307692307692,10.0,164.0,2.2051282051282053,14135125.34288807,4480075.732465089,0,2,0.0
2018-12-27 20:08:20,0.0,37.29336473913047,126.97799286956524,4.56466503340942,69.47826086956522,185.0,254.47826086956522,10.0,206.5,2.1739130434782608,14135125.508191925,4480077.317701036,0,2,0.0
2018-12-27 20:08:21,0.0,37.293384844444454,126.97799677777776,8.152981022125356,70.33333333333333,200.37777777777777,270.7111111111111,10.0,252.0,2.3333333333333335,14135125.943252152,4480080.131014429,0,2,0.0
2018-12-27 20:08:22,0.0,37.29341597916667,126.97800281249992,12.62470773111737,69.47916666666667,197.10416666666666,266.5833333333333,10.0,298.5,2.2708333333333335,14135126.615034351,4480084.487661675,0,3,0.0
2018-12-27 20:08:23,0.0,37.29345335416668,126.97801358333332,15.366626678971434,70.10416666666667,200.91666666666666,271.0208333333333,9.458333333333334,346.5,2.1875,14135127.81403804,4480089.717506474,0,3,0.0
2018-12-27 20:08:24,0.0,37.29349513043478,126.97802458695645,17.10544438226199,68.6304347826087,205.67391304347825,274.30434782608694,9.5,393.5,2.3043478260869565,14135129.038955763,4480095.563219202,0,3,0.0
2018-12-27 20:08:25,0.0,37.29354546808511,126.97803672340426,20.540543713815378,69.68085106382979,215.0,284.6808510638298,9.404255319148936,440.0,2.5319148936170213,14135130.389978955,4480102.606922167,0,3,0.0
2018-12-27 20:08:26,0.0,37.293597636363636,126.97804934090912,21.289927978385464,70.06818181818181,213.5,283.5681818181818,9.25,485.5,2.1363636363636362,14135131.794553172,4480109.906788294,0,3,0.0
2018-12-27 20:08:27,0.0,37.29365612244896,126.97806291836737,23.83467412690709,70.6734693877551,217.71428571428572,288.38775510204084,9.0,532.0204081632653,2.306122448979592,14135133.305988908,4480118.090706167,0,2,0.0
2018-12-27 20:08:28,0.0,37.29372056521743,126.9780747173913,26.097971362400042,69.6086956521739,218.6304347826087,288.2391304347826,9.0,579.4782608695652,2.1739130434782608,14135134.619450243,4480127.108146002,0,2,0.0
2018-12-27 20:08:29,0.0,37.29377711627908,126.97808658139533,22.97631710175932,68.44186046511628,226.72093023255815,295.16279069767444,9.0,624.0,1.930232558139535,14135135.940145131,4480135.021310167,0,2,0.0
2018-12-27 20:08:30,0.0,37.293834119999985,126.97809947999998,23.211425018365084,68.28,219.76,288.04,9.16,670.5,2.04,14135137.376011234,4480142.997820755,0,2,0.0
2018-12-27 20:08:31,0.0,37.293890306122464,126.97811651020412,23.161950168768193,67.57142857142857,222.53061224489795,290.1020408163265,9.83673469387755,720.0,1.9591836734693877,14135139.271804886,4480150.859930995,0,2,0.0
2018-12-27 20:08:32,0.0,37.29393955555555,126.97812500000003,19.921445670762825,66.84444444444445,230.3111111111111,297.15555555555557,10.2,767.0,2.4,14135140.216884645,4480157.751396835,0,2,0.0
2018-12-27 20:08:33,0.0,37.2939849791667,126.97811533333339,18.46255410256275,69.72916666666667,238.02083333333334,307.75,11.0,813.5416666666666,2.5833333333333335,14135139.140796237,4480164.107519978,0,2,0.0
2018-12-27 20:08:34,0.0,37.29402466666667,126.97809202083336,17.55564709961319,69.875,235.22916666666666,305.1041666666667,11.0,861.4583333333334,2.0833333333333335,14135136.545660604,4480169.660992575,0,2,0.0
2018-12-27 20:08:35,0.0,37.29405254545451,126.97805954545449,15.232154208190687,70.0,238.04545454545453,308.04545454545456,11.0,907.5681818181819,2.3636363636363638,14135132.930517964,4480173.562073619,0,2,0.0
2018-12-27 20:08:36,0.0,37.294072999999976,126.9780085384616,18.210799295937527,68.1923076923077,260.38461538461536,328.5769230769231,10.76923076923077,955.4423076923077,2.0,14135127.25244549,4480176.424280745,0,2,0.0
2018-12-27 20:08:37,0.0,37.29408348717952,126.97794407692315,20.976394224773628,68.25641025641026,230.17948717948718,298.43589743589746,10.76923076923077,1001.0,2.5641025641025643,14135120.076619852,4480177.891753402,0,2,0.0
2018-12-27 20:08:38,0.0,37.294089652173916,126.97789049999997,17.258675351260674,69.91304347826087,218.6304347826087,288.54347826086956,10.0,1043.5652173913043,2.4565217391304346,14135114.112464048,4480178.754422119,0,2,0.0
2018-12-27 20:08:39,0.0,37.29409232653063,126.97783897959178,16.46021017556457,70.87755102040816,214.57142857142858,285.44897959183675,10.0,1090.938775510204,2.142857142857143,14135108.37723844,4480179.128645332,0,2,0.0
2018-12-27 20:08:40,0.0,37.294084916666634,126.9777928333334,15.00863923321069,69.27083333333333,215.9375,285.2083333333333,10.0,1139.5,2.4166666666666665,14135103.240260456,4480178.091781771,0,2,0.0
