time,ele,lat,lon,speed,encoding_latency,network_latency,total_latency,number_of_satellites,image_sequence_number,stream_id
2018-12-27 20:08:16,0.0,37.29335100000002,126.97798925000008,0.4655450764042711,71.3,404.9,476.2,10.0,15.8,5.0
2018-12-27 20:08:17,0.0,37.293350809523815,126.97799069047625,0.4655450764042711,71.22222222222223,486.3333333333333,557.5555555555555,10.0,28.0,5.0
2018-12-27 20:08:18,0.0,37.29335021052632,126.9779923947368,0.5940071154128587,71.625,400.375,472.0,10.0,41.5,5.0
2018-12-27 20:08:19,0.0,37.29335341025641,126.97799138461545,1.3221135367251104,76.66666666666667,203.0,279.6666666666667,10.0,59.666666666666664,5.0
2018-12-27 20:08:20,0.0,37.29336473913047,126.97799286956524,4.56466503340942,68.83333333333333,196.16666666666666,265.0,10.0,69.66666666666667,5.0
2018-12-27 20:08:21,0.0,37.293384844444454,126.97799677777776,8.152981022125356,70.0,215.66666666666666,285.6666666666667,10.0,83.33333333333333,5.0
2018-12-27 20:08:22,0.0,37.29341597916667,126.97800281249992,12.62470773111737,71.4,214.4,285.8,10.0,101.2,5.0
2018-12-27 20:08:23,0.0,37.29345335416668,126.97801358333332,15.366626678971434,71.0,221.4,292.4,9.0,116.0,5.0
2018-12-27 20:08:24,0.0,37.29349513043478,126.97802458695645,17.10544438226199,68.75,238.25,307.0,9.75,128.5,5.0
2018-12-27 20:08:25,0.0,37.29354546808511,126.97803672340426,20.540543713815378,70.33333333333333,229.22222222222223,299.55555555555554,9.444444444444445,141.22222222222223,5.0
2018-12-27 20:08:26,0.0,37.293597636363636,126.97804934090912,21.289927978385464,70.5,239.5,310.0,9.5,154.5,5.0
2018-12-27 20:08:27,0.0,37.29365612244896,126.97806291836737,23.83467412690709,70.8,229.6,300.4,9.0,171.4,5.0
2018-12-27 20:08:28,0.0,37.29372056521743,126.9780747173913,26.097971362400042,72.75,227.25,300.0,9.0,182.0,5.0
2018-12-27 20:08:29,0.0,37.29377711627908,126.97808658139533,22.97631710175932,67.5,248.0,315.5,9.0,198.16666666666666,5.0
2018-12-27 20:08:30,0.0,37.293834119999985,126.97809947999998,23.211425018365084,67.16666666666667,239.66666666666666,306.8333333333333,9.0,211.0,5.0
2018-12-27 20:08:31,0.0,37.293890306122464,126.97811651020412,23.161950168768193,64.83333333333333,229.0,293.8333333333333,9.833333333333334,225.83333333333334,5.0
2018-12-27 20:08:32,0.0,37.29393955555555,126.97812500000003,19.921445670762825,56.333333333333336,232.66666666666666,289.0,10.666666666666666,244.0,5.0
2018-12-27 20:08:33,0.0,37.2939849791667,126.97811533333339,18.46255410256275,70.3,248.8,319.1,11.0,256.0,5.0
2018-12-27 20:08:34,0.0,37.29402466666667,126.97809202083336,17.55564709961319,68.33333333333333,243.0,311.3333333333333,11.0,270.3333333333333,5.0
2018-12-27 20:08:35,0.0,37.29405254545451,126.97805954545449,15.232154208190687,68.8,249.2,318.0,11.0,286.8,5.0
2018-12-27 20:08:36,0.0,37.294072999999976,126.9780085384616,18.210799295937527,69.75,301.25,371.0,11.0,299.75,5.0
2018-12-27 20:08:37,0.0,37.29408348717952,126.97794407692315,20.976394224773628,66.66666666666667,225.0,291.6666666666667,10.833333333333334,316.0,5.0
2018-12-27 20:08:38,0.0,37.294089652173916,126.97789049999997,17.258675351260674,71.0,235.33333333333334,306.3333333333333,10.0,328.5,5.0
2018-12-27 20:08:39,0.0,37.29409232653063,126.97783897959178,16.46021017556457,73.66666666666667,230.66666666666666,304.3333333333333,10.0,341.0,5.0
2018-12-27 20:08:40,0.0,37.294084916666634,126.9777928333334,15.00863923321069,67.88888888888889,230.22222222222223,298.1111111111111,10.0,355.0,5.0
2018-12-27 20:08:41,0.0,37.29406155555558,126.97775522222219,15.212721100953353,62.5,213.0,275.5,8.0,374.5,5.0
2018-12-27 20:08:42,0.0,37.294024326530646,126.9777263469389,17.531081961449562,70.33333333333333,210.83333333333334,281.1666666666667,8.833333333333334,384.1666666666667,5.0
2018-12-27 20:08:43,0.0,37.29397171739131,126.97770832608688,21.851910607445923,68.83333333333333,214.33333333333334,283.1666666666667,8.666666666666666,399.0,5.0
2018-12-27 20:08:44,0.0,37.29390553061222,126.97769077551025,27.108109110737683,70.6,227.0,297.6,9.0,410.8,5.0
2018-12-27 20:08:45,0.0,37.293827886792414,126.97767433962254,31.553899722779803,69.7,328.0,397.7,9.0,428.4,5.0
2018-12-27 20:08:46,0.0,37.29375173684212,126.97765689473685,31.019762426669395,70.14285714285714,360.85714285714283,431.0,9.0,439.0,5.0
2018-12-27 20:08:47,0.0,37.293670425531914,126.97763214893628,33.52695863521126,69.4,234.0,303.4,8.8,453.2,5.0
2018-12-27 20:08:48,0.0,37.29359452083333,126.97761314583333,31.01627575963623,68.875,220.375,289.25,8.0,469.25,5.0
2018-12-27 20:08:49,0.0,37.293525543478275,126.97759767391298,28.079338243273842,71.0,223.33333333333334,294.3333333333333,7.666666666666667,482.6666666666667,5.0
2018-12-27 20:08:50,0.0,37.29346317777776,126.97758633333329,25.253225069058647,74.5,224.75,299.25,8.0,498.25,5.0
2018-12-27 20:08:51,0.0,37.293407259999974,126.97757157999999,22.897368593459365,70.2,211.2,281.4,8.0,512.6,5.0
2018-12-27 20:08:52,0.0,37.29334866666668,126.97755464583328,24.09395202438734,70.0,213.57142857142858,283.57142857142856,8.0,527.4285714285714,5.0
2018-12-27 20:08:53,0.0,37.29328597872342,126.97753802127662,25.675216104625015,71.0,231.75,302.75,8.0,543.0,5.0
