time,ele,lat,lon,speed,encoding_latency,network_latency,total_latency,number_of_satellites,image_sequence_number,stream_id,x_merc,y_merc
2018-12-27 20:08:16,0.0,37.29335100000002,126.97798925000008,0.4655450764042711,69.2,334.6,403.8,10.0,14.5,3.0,14135125.105263773,4480075.395200794
2018-12-27 20:08:17,0.0,37.293350809523815,126.97799069047625,0.4655450764042711,71.18181818181819,471.1818181818182,542.3636363636364,10.0,29.181818181818183,3.0,14135125.265616847,4480075.368547686
2018-12-27 20:08:18,0.0,37.29335021052632,126.9779923947368,0.5940071154128587,68.66666666666667,367.0,435.6666666666667,10.0,42.44444444444444,3.0,14135125.455334265,4480075.284730686
2018-12-27 20:08:19,0.0,37.29335341025641,126.97799138461545,1.3221135367251104,75.14285714285714,214.14285714285714,289.2857142857143,10.0,57.285714285714285,3.0,14135125.34288807,4480075.732465089
2018-12-27 20:08:20,0.0,37.29336473913047,126.97799286956524,4.56466503340942,69.5,175.625,245.125,10.0,70.25,3.0,14135125.508191925,4480077.317701036
2018-12-27 20:08:21,0.0,37.293384844444454,126.97799677777776,8.152981022125356,71.33333333333333,196.66666666666666,268.0,10.0,84.25,3.0,14135125.943252152,4480080.131014429
2018-12-27 20:08:22,0.0,37.29341597916667,126.97800281249992,12.62470773111737,62.888888888888886,183.88888888888889,246.77777777777777,10.0,98.0,3.0,14135126.615034351,4480084.487661675
2018-12-27 20:08:23,0.0,37.29345335416668,126.97801358333332,15.366626678971434,64.375,192.375,256.75,9.625,113.0,3.0,14135127.81403804,4480089.717506474
2018-12-27 20:08:24,0.0,37.29349513043478,126.97802458695645,17.10544438226199,69.6,196.6,266.2,9.5,127.8,3.0,14135129.038955763,4480095.563219202
2018-12-27 20:08:25,0.0,37.29354546808511,126.97803672340426,20.540543713815378,68.4,204.5,272.9,9.4,141.2,3.0,14135130.389978955,4480102.606922167
2018-12-27 20:08:26,0.0,37.293597636363636,126.97804934090912,21.289927978385464,73.33333333333333,212.66666666666666,286.0,9.222222222222221,155.33333333333334,3.0,14135131.794553172,4480109.906788294
2018-12-27 20:08:27,0.0,37.29365612244896,126.97806291836737,23.83467412690709,65.625,207.0,272.625,9.0,168.75,3.0,14135133.305988908,4480118.090706167
2018-12-27 20:08:28,0.0,37.29372056521743,126.9780747173913,26.097971362400042,69.5,221.6,291.1,9.0,184.6,3.0,14135134.619450243,4480127.108146002
2018-12-27 20:08:29,0.0,37.29377711627908,126.97808658139533,22.97631710175932,66.75,218.25,285.0,9.0,198.5,3.0,14135135.940145131,4480135.021310167
2018-12-27 20:08:30,0.0,37.293834119999985,126.97809947999998,23.211425018365084,69.7,226.5,296.2,9.2,212.9,3.0,14135137.376011234,4480142.997820755
2018-12-27 20:08:31,0.0,37.293890306122464,126.97811651020412,23.161950168768193,62.5,212.625,275.125,9.75,228.25,3.0,14135139.271804886,4480150.859930995
2018-12-27 20:08:32,0.0,37.29393955555555,126.97812500000003,19.921445670762825,69.4,236.1,305.5,10.6,243.2,3.0,14135140.216884645,4480157.751396835
2018-12-27 20:08:33,0.0,37.2939849791667,126.97811533333339,18.46255410256275,68.92307692307692,232.15384615384616,301.0769230769231,11.0,255.92307692307693,3.0,14135139.140796237,4480164.107519978
2018-12-27 20:08:34,0.0,37.29402466666667,126.97809202083336,17.55564709961319,71.5,241.375,312.875,11.0,270.875,3.0,14135136.545660604,4480169.660992575
2018-12-27 20:08:35,0.0,37.29405254545451,126.97805954545449,15.232154208190687,69.54545454545455,236.36363636363637,305.90909090909093,11.0,285.1818181818182,3.0,14135132.930517964,4480173.562073619
2018-12-27 20:08:36,0.0,37.294072999999976,126.9780085384616,18.210799295937527,64.0,254.16666666666666,318.1666666666667,10.666666666666666,300.8333333333333,3.0,14135127.25244549,4480176.424280745
2018-12-27 20:08:37,0.0,37.29408348717952,126.97794407692315,20.976394224773628,68.625,234.875,303.5,10.625,315.0,3.0,14135120.076619852,4480177.891753402
2018-12-27 20:08:38,0.0,37.294089652173916,126.97789049999997,17.258675351260674,70.14285714285714,208.0,278.14285714285717,10.0,326.57142857142856,3.0,14135114.112464048,4480178.754422119
2018-12-27 20:08:39,0.0,37.29409232653063,126.97783897959178,16.46021017556457,72.75,215.625,288.375,10.0,341.5,3.0,14135108.37723844,4480179.128645332
2018-12-27 20:08:40,0.0,37.294084916666634,126.9777928333334,15.00863923321069,68.1,205.7,273.8,10.0,354.9,3.0,14135103.240260456,4480178.091781771
2018-12-27 20:08:41,0.0,37.29406155555558,126.97775522222219,15.212721100953353,61.75,206.0,267.75,8.75,369.75,3.0,14135099.053410709,4480174.822858102
2018-12-27 20:08:42,0.0,37.294024326530646,126.9777263469389,17.531081961449562,68.66666666666667,211.83333333333334,280.5,8.666666666666666,384.3333333333333,3.0,14135095.839028876,4480169.613397321
2018-12-27 20:08:43,0.0,37.29397171739131,126.97770832608688,21.851910607445923,68.33333333333333,198.44444444444446,266.77777777777777,8.777777777777779,398.22222222222223,3.0,14135093.832956806,4480162.251800157
2018-12-27 20:08:44,0.0,37.29390553061222,126.97769077551025,27.108109110737683,69.25,209.66666666666666,278.9166666666667,9.0,413.1666666666667,3.0,14135091.879235553,4480152.990291099
2018-12-27 20:08:45,0.0,37.293827886792414,126.97767433962254,31.553899722779803,70.88888888888889,279.44444444444446,350.3333333333333,9.0,428.22222222222223,3.0,14135090.0496009,4480142.125609919
2018-12-27 20:08:46,0.0,37.29375173684212,126.97765689473685,31.019762426669395,61.714285714285715,315.57142857142856,377.2857142857143,9.0,440.2857142857143,3.0,14135088.10764511,4480131.469976436
