time,ele,lat,lon,speed,avg_latency,seq,antennas,buildings,avg_build_height
2018-12-14 16:10:43,0.0,37.29336219347826,126.97778432391307,0.11035924036286568,435.39130434782606,26.5,0,2,0.0
2018-12-14 16:10:44,0.0,37.293362188,126.97778466999985,0.11035924036286568,520.16,74.5,0,2,0.0
2018-12-14 16:10:45,0.0,37.29336198888886,126.9777848351852,0.0956059251437271,519.6111111111111,126.5,0,2,0.0
2018-12-14 16:10:46,0.0,37.293361703508786,126.97778510350872,0.14282022696747093,511.4035087719298,182.0,0,2,0.0
2018-12-14 16:10:47,0.0,37.29336114864865,126.97778518648651,0.2239284268678025,507.18918918918916,229.0,0,2,0.0
2018-12-14 16:10:48,0.0,37.293360593181816,126.97778550000011,0.24401395281935787,481.15909090909093,269.5,0,2,0.0
2018-12-14 16:10:49,0.0,37.29336006097563,126.97778580975624,0.2350352680471025,497.5365853658537,312.0,0,2,0.0
2018-12-14 16:10:50,0.0,37.29335939523807,126.97778621904763,0.29699557882013367,475.0238095238095,353.5,0,2,0.0
2018-12-14 16:10:51,0.0,37.29335877906976,126.97778653720941,0.26695161579394866,496.7906976744186,396.0,0,2,0.0
2018-12-14 16:10:52,0.0,37.293358065789484,126.97778665263156,0.2882060484413662,497.7368421052632,436.5,0,2,0.0
2018-12-14 16:10:53,0.0,37.29335738780488,126.97778671951222,0.2725378259188619,515.609756097561,476.0,0,2,0.0
2018-12-14 16:10:54,0.0,37.29335665348837,126.97778679534886,0.29526901830381785,516.9767441860465,518.0,0,2,0.0
2018-12-14 16:10:55,0.0,37.29335585238096,126.97778709285724,0.3347621695979195,503.04761904761904,560.5238095238095,0,2,0.0
2018-12-14 16:10:56,0.0,37.29335522682929,126.97778753902433,0.28823415241490646,492.7073170731707,601.9756097560976,0,2,0.0
2018-12-14 16:10:57,0.0,37.293354647619054,126.97778802857142,0.2797111511904087,513.2857142857143,643.5,0,2,0.0
2018-12-14 16:10:58,0.0,37.29335411891891,126.9777886,0.27943000788891276,517.7567567567568,683.0,0,2,0.0
2018-12-14 16:10:59,0.0,37.293353662499996,126.9777893875,0.3106289094028058,520.775,721.5,0,2,0.0
2018-12-14 16:11:00,0.0,37.293353256410285,126.97779014871797,0.2922012017508442,481.61538461538464,761.0,0,2,0.0
2018-12-14 16:11:01,0.0,37.29335288837208,126.9777909325581,0.29017828302460996,489.6744186046512,802.0,0,2,0.0
2018-12-14 16:11:02,0.0,37.2933524860465,126.97779160697671,0.26875066686912563,502.48837209302326,845.0,0,2,0.0
2018-12-14 16:11:03,0.0,37.29335213947366,126.97779242105267,0.29436493190815716,499.44736842105266,885.5,0,2,0.0
2018-12-14 16:11:04,0.0,37.29335176666664,126.97779325238099,0.3042481942668981,494.3809523809524,925.5,0,2,0.0
2018-12-14 16:11:05,0.0,37.29335154390244,126.97779402682932,0.26254868501220613,478.5365853658537,967.0,0,2,0.0
2018-12-14 16:11:06,0.0,37.293351412195086,126.9777945073171,0.16202462678172103,496.3170731707317,1008.0,0,2,0.0
2018-12-14 16:11:07,0.0,37.29335127560975,126.97779473414641,0.09069598188272421,537.2439024390244,1049.0,0,2,0.0
2018-12-14 16:11:08,0.0,37.29335124736842,126.97779525526315,0.1665245162248198,492.8421052631579,1088.5,0,2,0.0
2018-12-14 16:11:09,0.0,37.2933512326087,126.97779610000009,0.26937917297457087,503.4782608695652,1130.5,0,2,0.0
2018-12-14 16:11:10,0.0,37.29335114594597,126.97779680810814,0.22841079258178468,567.1621621621622,1172.0,0,2,0.0
2018-12-14 16:11:11,0.0,37.29335095897435,126.97779769743592,0.29326411588295537,505.2307692307692,1210.0,0,2,0.0
2018-12-14 16:11:12,0.0,37.293350721052626,126.97779864210521,0.3159064988239168,481.1842105263158,1248.5,0,2,0.0
2018-12-14 16:11:13,0.0,37.29335047317072,126.97779976097564,0.3702857877085481,470.0731707317073,1288.0,0,2,0.0
2018-12-14 16:11:14,0.0,37.29335027906975,126.97780100465116,0.4040595794702271,483.9767441860465,1330.0,0,2,0.0
2018-12-14 16:11:15,0.0,37.293349945,126.9778025525,0.5113143641150376,489.2,1371.5,0,2,0.0
2018-12-14 16:11:16,0.0,37.293349730232556,126.97780412558141,0.5088525376958026,493.7906976744186,1413.0,0,2,0.0
2018-12-14 16:11:17,0.0,37.293349617073204,126.9778055902438,0.46915219878635567,474.0975609756098,1455.0,0,2,0.0
2018-12-14 16:11:18,0.0,37.29334973265306,126.97780685714285,0.4065527180646633,484.8775510204082,1500.0,0,2,0.0
2018-12-14 16:11:19,0.0,37.29335086999999,126.97780803749997,0.5910660748081203,513.575,1544.5,0,2,0.0
2018-12-14 16:11:20,0.0,37.29335531860463,126.97780701162793,1.812531693101716,569.3023255813954,1586.0,0,2,0.0
2018-12-14 16:11:21,0.0,37.29336332105262,126.97780394736846,3.352480775743536,594.2631578947369,1626.5,0,2,0.0
2018-12-14 16:11:22,0.0,37.293372679545456,126.97780595909086,3.8048629269449967,566.1590909090909,1667.5227272727273,0,2,0.0
2018-12-14 16:11:23,0.0,37.293384175609745,126.97780782195126,4.645172919861719,542.780487804878,1709.9756097560976,0,2,0.0
2018-12-14 16:11:24,0.0,37.29339973636365,126.97780468181823,6.315822938031263,497.6818181818182,1752.5,0,2,0.0
2018-12-14 16:11:25,0.0,37.29341564571428,126.97780083142854,6.4927752185512215,561.2571428571429,1792.0,0,2,0.0
2018-12-14 16:11:26,0.0,37.29343484634149,126.9777975365853,7.7660245399071215,489.609756097561,1830.0,0,3,0.0
