time,ele,lat,lon,speed,encoding_latency,network_latency,total_latency,number_of_satellites,image_sequence_number,stream_id,x_merc,y_merc,antennas,buildings,avg_build_height
2018-12-27 19:49:41,0.0,37.29344400000001,126.97799000000003,2.4516011984286986e-08,127.8125,139.3125,267.125,10.0,8.5,2.5,14135125.188753387,4480088.408587436,0,3,0.0
2018-12-27 19:49:42,0.0,37.29344399999995,126.97799,2.4516011984286986e-08,66.22784810126582,138.73417721518987,204.9620253164557,10.0,56.0,2.430379746835443,14135125.188753383,4480088.408587428,0,3,0.0
2018-12-27 19:49:43,0.0,37.29344371604936,126.97798999999999,0.11379324673813436,66.55555555555556,134.35802469135803,200.91358024691357,10.0,136.0,2.493827160493827,14135125.188753383,4480088.368854512,0,3,0.0
2018-12-27 19:49:44,0.0,37.29344300000002,126.97799079999986,0.3839209803565369,66.15,135.625,201.775,10.0,216.5,2.45,14135125.27780896,4480088.268658464,0,3,0.0
2018-12-27 19:49:45,0.0,37.29344248717952,126.97799099999989,0.21517724371904032,66.58974358974359,137.7948717948718,204.3846153846154,10.0,295.5,2.5128205128205128,14135125.300072862,4480088.1969000185,0,3,0.0
2018-12-27 19:49:46,0.0,37.29344188749998,126.97799031250001,0.32526353546694875,66.475,131.975,198.45,10.0,374.5,2.4125,14135125.223540725,4480088.112987476,0,3,0.0
2018-12-27 19:49:47,0.0,37.29344099999995,126.97798999999999,0.369356412749937,66.64197530864197,135.8641975308642,202.50617283950618,10.0,455.0,2.4444444444444446,14135125.188753383,4480087.988800512,0,3,0.0
2018-12-27 19:49:48,0.0,37.29343940506331,126.97799,0.6391711251753689,66.60759493670886,136.7594936708861,203.36708860759492,10.0,535.0,2.4177215189873418,14135125.188753383,4480087.765622674,0,3,0.0
2018-12-27 19:49:49,0.0,37.29343860256415,126.97799000000002,0.3216016717429588,66.41025641025641,134.46153846153845,200.87179487179486,10.0,613.5,2.551282051282051,14135125.188753387,4480087.653329795,0,3,0.0
2018-12-27 19:49:50,0.0,37.29343800000002,126.97799,0.24147767498612563,66.575,132.65,199.225,10.0,692.5,2.4,14135125.188753383,4480087.569013621,0,3,0.0
2018-12-27 19:49:51,0.0,37.29343779518069,126.97798999999998,0.08208138331862865,66.50602409638554,131.74698795180723,198.25301204819277,10.0,774.0,2.4939759036144578,14135125.188753381,4480087.540353464,0,3,0.0
2018-12-27 19:49:52,0.0,37.29343699999996,126.97799000000002,0.3186688081528709,66.7948717948718,143.74358974358975,210.53846153846155,10.0,854.5,2.6153846153846154,14135125.188753387,4480087.429084649,0,3,0.0
2018-12-27 19:49:53,0.0,37.29343699999996,126.97798999999999,9.061237323384942e-09,66.39506172839506,126.66666666666667,193.06172839506172,10.0,934.0,2.493827160493827,14135125.188753383,4480087.429084649,0,3,0.0
2018-12-27 19:49:54,0.0,37.29343800000002,126.97799059999984,0.4440629868173093,66.4875,135.2875,201.775,10.0,1014.5,2.5125,14135125.25554506,4480087.569013621,0,3,0.0
2018-12-27 19:49:55,0.0,37.29343800000002,126.97799099999989,0.1275255916154496,66.51898734177215,134.56962025316454,201.08860759493672,10.0,1094.0,2.4683544303797467,14135125.300072862,4480087.569013621,0,3,0.0
2018-12-27 19:49:56,0.0,37.29343800000003,126.97799181481489,0.25977438030664163,66.48148148148148,130.44444444444446,196.92592592592592,10.0,1174.0,2.45679012345679,14135125.390777653,4480087.569013623,0,3,0.0
2018-12-27 19:49:57,0.0,37.29343800000002,126.97799200000006,0.059039614589147596,66.22077922077922,137.02597402597402,203.24675324675326,9.909090909090908,1253.0,2.324675324675325,14135125.411392372,4480087.569013621,0,3,0.0
2018-12-27 19:49:58,0.0,37.29343800000002,126.97799200000006,0.0,66.41025641025641,136.24358974358975,202.65384615384616,9.794871794871796,1330.5,2.641025641025641,14135125.411392372,4480087.569013621,0,3,0.0
2018-12-27 19:49:59,0.0,37.29343800000003,126.97799240243923,0.12830321793096847,66.58536585365853,131.53658536585365,198.1219512195122,10.0,1410.5,2.524390243902439,14135125.456191696,4480087.569013623,0,3,0.0
2018-12-27 19:50:00,0.0,37.29343800000002,126.97799300000024,0.1905107814954393,66.55696202531645,131.56962025316454,198.126582278481,10.0,1491.0,2.6202531645569622,14135125.522711882,4480087.569013621,0,3,0.0
2018-12-27 19:50:01,0.0,37.29343800000002,126.97799367088615,0.21388778127354235,66.70886075949367,136.65822784810126,203.36708860759492,10.0,1570.0,2.6582278481012658,14135125.59739456,4480087.569013621,0,3,0.0
2018-12-27 19:50:02,0.0,37.29343800000002,126.97799479999999,0.35997723375087626,66.725,134.975,201.7,10.0,1649.5,2.475,14135125.72308694,4480087.569013621,0,3,0.0
2018-12-27 19:50:03,0.0,37.29343851219513,126.97799580487782,0.38048513219632135,66.59756097560975,133.79268292682926,200.390243902439,10.0,1730.5,2.451219512195122,14135125.834949428,4480087.640684552,0,3,0.0
2018-12-27 19:50:04,0.0,37.29343900000002,126.97799599999979,0.20514702400268245,66.6829268292683,130.03658536585365,196.71951219512195,10.0,1812.5,2.524390243902439,14135125.856670305,4480087.708942585,0,3,0.0
2018-12-27 19:50:05,0.0,37.293438607594986,126.9779959999998,0.1572563831263388,66.31645569620254,139.8860759493671,206.20253164556962,10.0,1893.0,2.607594936708861,14135125.856670305,4480087.654033754,0,3,0.0
2018-12-27 19:50:06,0.0,37.29343554320992,126.9779959999998,1.2280528278128464,66.51851851851852,143.49382716049382,210.01234567901236,10.0,1973.0,2.54320987654321,14135125.856670305,4480087.225237532,0,3,0.0
