time,ele,lat,lon,speed,encoding_latency,network_latency,total_latency,number_of_satellites,image_sequence_number,stream_id,x_merc,y_merc
2018-12-27 19:49:41,0.0,37.29344400000001,126.97799000000003,2.4516011984286986e-08,48.0,143.5,191.5,10.0,1.5,1.0,14135125.188753387,4480088.408587436
2018-12-27 19:49:42,0.0,37.29344399999995,126.97799,2.4516011984286986e-08,66.14285714285714,136.0,202.14285714285714,10.0,9.857142857142858,1.0,14135125.188753383,4480088.408587428
2018-12-27 19:49:43,0.0,37.29344371604936,126.97798999999999,0.11379324673813436,66.58333333333333,129.33333333333334,195.91666666666666,10.0,25.25,1.0,14135125.188753383,4480088.368854512
2018-12-27 19:49:44,0.0,37.29344300000002,126.97799079999986,0.3839209803565369,66.85714285714286,130.5,197.35714285714286,10.0,39.57142857142857,1.0,14135125.27780896,4480088.268658464
2018-12-27 19:49:45,0.0,37.29344248717952,126.97799099999989,0.21517724371904032,66.81818181818181,133.1818181818182,200.0,10.0,54.90909090909091,1.0,14135125.300072862,4480088.1969000185
2018-12-27 19:49:46,0.0,37.29344188749998,126.97799031250001,0.32526353546694875,66.66666666666667,126.8,193.46666666666667,10.0,70.0,1.0,14135125.223540725,4480088.112987476
2018-12-27 19:49:47,0.0,37.29344099999995,126.97798999999999,0.369356412749937,67.0,130.41666666666666,197.41666666666666,10.0,85.83333333333333,1.0,14135125.188753383,4480087.988800512
2018-12-27 19:49:48,0.0,37.29343940506331,126.97799,0.6391711251753689,67.33333333333333,130.66666666666666,198.0,10.0,100.75,1.0,14135125.188753383,4480087.765622674
2018-12-27 19:49:49,0.0,37.29343860256415,126.97799000000002,0.3216016717429588,66.85714285714286,128.5,195.35714285714286,10.0,114.57142857142857,1.0,14135125.188753387,4480087.653329795
2018-12-27 19:49:50,0.0,37.29343800000002,126.97799,0.24147767498612563,66.6,127.73333333333333,194.33333333333334,10.0,130.0,1.0,14135125.188753383,4480087.569013621
2018-12-27 19:49:51,0.0,37.29343779518069,126.97798999999998,0.08208138331862865,66.76923076923077,125.84615384615384,192.6153846153846,10.0,144.46153846153845,1.0,14135125.188753381,4480087.540353464
2018-12-27 19:49:52,0.0,37.29343699999996,126.97799000000002,0.3186688081528709,66.8,137.8,204.6,10.0,161.9,1.0,14135125.188753387,4480087.429084649
2018-12-27 19:49:53,0.0,37.29343699999996,126.97798999999999,9.061237323384942e-09,66.66666666666667,122.4,189.06666666666666,10.0,175.0,1.0,14135125.188753383,4480087.429084649
2018-12-27 19:49:54,0.0,37.29343800000002,126.97799059999984,0.4440629868173093,66.84615384615384,129.84615384615384,196.69230769230768,10.0,190.3846153846154,1.0,14135125.25554506,4480087.569013621
2018-12-27 19:49:55,0.0,37.29343800000002,126.97799099999989,0.1275255916154496,66.66666666666667,129.53333333333333,196.2,10.0,205.0,1.0,14135125.300072862,4480087.569013621
2018-12-27 19:49:56,0.0,37.29343800000003,126.97799181481489,0.25977438030664163,66.66666666666667,125.73333333333333,192.4,10.0,220.0,1.0,14135125.390777653,4480087.569013623
2018-12-27 19:49:57,0.0,37.29343800000002,126.97799200000006,0.059039614589147596,66.57142857142857,132.78571428571428,199.35714285714286,9.928571428571429,235.5,1.0,14135125.411392372,4480087.569013621
2018-12-27 19:49:58,0.0,37.29343800000002,126.97799200000006,0.0,66.84615384615384,131.53846153846155,198.3846153846154,9.76923076923077,250.0,1.0,14135125.411392372,4480087.569013621
2018-12-27 19:49:59,0.0,37.29343800000003,126.97799240243923,0.12830321793096847,66.66666666666667,126.26666666666667,192.93333333333334,10.0,265.0,1.0,14135125.456191696,4480087.569013623
2018-12-27 19:50:00,0.0,37.29343800000002,126.97799300000024,0.1905107814954393,66.66666666666667,127.13333333333334,193.8,10.0,280.0,1.0,14135125.522711882,4480087.569013621
2018-12-27 19:50:01,0.0,37.29343800000002,126.97799367088615,0.21388778127354235,66.66666666666667,132.06666666666666,198.73333333333332,10.0,295.0,1.0,14135125.59739456,4480087.569013621
2018-12-27 19:50:02,0.0,37.29343800000002,126.97799479999999,0.35997723375087626,66.66666666666667,130.73333333333332,197.4,10.0,310.0,1.0,14135125.72308694,4480087.569013621
2018-12-27 19:50:03,0.0,37.29343851219513,126.97799580487782,0.38048513219632135,66.85714285714286,129.42857142857142,196.28571428571428,10.0,324.57142857142856,1.0,14135125.834949428,4480087.640684552
2018-12-27 19:50:04,0.0,37.29343900000002,126.97799599999979,0.20514702400268245,66.6,125.2,191.8,10.0,340.0,1.0,14135125.856670305,4480087.708942585
2018-12-27 19:50:05,0.0,37.293438607594986,126.9779959999998,0.1572563831263388,66.57142857142857,135.5,202.07142857142858,10.0,355.35714285714283,1.0,14135125.856670305,4480087.654033754
2018-12-27 19:50:06,0.0,37.29343554320992,126.9779959999998,1.2280528278128464,66.42857142857143,141.0,207.42857142857142,10.0,370.5,1.0,14135125.856670305,4480087.225237532
2018-12-27 19:50:07,0.0,37.29343345679018,126.97799613580243,0.837253254401396,66.26666666666667,130.6,196.86666666666667,10.0,386.0,1.0,14135125.871787786,4480086.933286995
2018-12-27 19:50:08,0.0,37.29343614814818,126.97799759259276,1.1743106823374898,66.75,151.0,217.75,10.0,400.8333333333333,1.0,14135126.033956943,4480087.309885915
2018-12-27 19:50:09,0.0,37.29344359999994,126.9779981875002,2.9923476710927286,66.28571428571429,147.64285714285714,213.92857142857142,10.0,416.42857142857144,1.0,14135126.100181736,4480088.352615836
