,com,lat,lic,lon,x_merc,y_merc
497,KT4GOUT,37.272607,322014110010560,126.939075,14130793.190769162,4477173.112188854
503,KT4GOUT,37.272607,322012110020153,126.939075,14130793.190769162,4477173.112188854
504,KT4GOUT,37.272607,322012110020154,126.939075,14130793.190769162,4477173.112188854
508,KT4GOUT,37.272607,852015110011339,126.939075,14130793.190769162,4477173.112188854
512,KT4GOUT,37.272861,322016110052234,126.936469,14130503.092176156,4477208.644369148
513,KT4GOUT,37.272861,322015110037674,126.936469,14130503.092176156,4477208.644369148
515,KT4GOUT,37.272897,322017110036978,126.936252,14130478.935846655,4477213.680435897
521,KT4GOUT,37.272897,322015110034137,126.936252,14130478.935846655,4477213.680435897
525,KT4GOUT,37.270544,322017110031124,126.95136,14132160.750713559,4476884.522582564
530,KT4GOUT,37.270544,322017110031123,126.95136,14132160.750713559,4476884.522582564
533,KT4GOUT,37.270544,322017110031122,126.95136,14132160.750713559,4476884.522582564
534,KT4GOUT,37.272808,322015110039928,126.946983,14131673.505302357,4477201.23016415
535,KT4GOUT,37.272808,322016110052212,126.946983,14131673.505302357,4477201.23016415
539,KT4GOUT,37.271028,322018110002161,126.948061,14131793.507713431,4476952.227819967
540,KT4GOUT,37.271028,322018110002130,126.948061,14131793.507713431,4476952.227819967
543,KT4GOUT,37.270427,322017110059981,126.946311,14131598.69860454,4476868.155885951
546,KT4GOUT,37.270427,322017110059982,126.946311,14131598.69860454,4476868.155885951
547,KT4GOUT,37.270427,322017110059980,126.946311,14131598.69860454,4476868.155885951
550,KT4GOUT,37.270614,322018110002159,126.945775,14131539.031357478,4476894.314635432
551,KT4GOUT,37.270614,322018110002128,126.945775,14131539.031357478,4476894.314635432
568,KT4GOUT,37.270847,322018110015727,126.956322,14132713.118026875,4476926.908248421
569,KT4GOUT,37.270847,322017110023382,126.956322,14132713.118026875,4476926.908248421
570,KT4GOUT,37.270847,322017110023366,126.956322,14132713.118026875,4476926.908248421
574,KT4GOUT,37.270439,322012110019118,126.95471,14132533.671007717,4476869.834520331
576,KT4GOUT,37.270439,322015110034025,126.95471,14132533.671007717,4476869.834520331
579,KT4GOUT,37.271564,322017110023367,126.953828,14132435.487216838,4477027.207681681
580,KT4GOUT,37.271564,322017110023383,126.953828,14132435.487216838,4477027.207681681
583,KT4GOUT,37.271557,322017110019045,126.953816,14132434.15138295,4477026.228463628
586,KT4GOUT,37.271557,322017110019044,126.953816,14132434.15138295,4477026.228463628
588,KT4GOUT,37.271557,322017110019043,126.953816,14132434.15138295,4477026.228463628
593,KT4GOUT,37.272723,322016110032465,126.952176,14132251.587418046,4477189.33946892
594,KT4GOUT,37.272723,322016110032257,126.952176,14132251.587418046,4477189.33946892
596,KT4GOUT,37.270222,322016110052233,126.954253,14132482.798000421,4476839.479256627
606,KT4GOUT,37.269397,322015110081251,126.939903,14130885.363307541,4476724.07409871
607,KT4GOUT,37.269397,322015110081255,126.939903,14130885.363307541,4476724.07409871
610,KT4GOUT,37.269501,322017110037812,126.93939,14130828.256408762,4476738.622073204
622,KT4GOUT,37.270155,322014110084270,126.934002,14130228.46699237,4476830.1069117775
623,KT4GOUT,37.2704,322016110052236,126.934014,14130229.80282626,4476864.378959576
627,KT4GOUT,37.2691,322017110037815,126.944175,14131360.92017221,4476682.528551406
628,KT4GOUT,37.2691,322016110052197,126.944175,14131360.92017221,4476682.528551406
631,KT4GOUT,37.270886,322018110002131,126.944944,14131446.524860628,4476932.363841564
632,KT4GOUT,37.270886,322018110002162,126.944944,14131446.524860628,4476932.363841564
641,KT4GOUT,37.269884,322012110020155,126.941955,14131113.790902646,4476792.197960232
642,KT4GOUT,37.269884,322015110040203,126.941955,14131113.790902646,4476792.197960232
643,KT4GOUT,37.269884,852015110011337,126.941955,14131113.790902646,4476792.197960232
644,KT4GOUT,37.269884,322012110020156,126.941955,14131113.790902646,4476792.197960232
645,KT4GOUT,37.269884,322012110020152,126.941955,14131113.790902646,4476792.197960232
649,KT4GOUT,37.269592,322017110037811,126.940493,14130951.04180711,4476751.351567373
650,KT4GOUT,37.26927,852016110000914,126.939844,14130878.795457581,4476706.308810952
653,KT4GOUT,37.26927,322015110042002,126.939844,14130878.795457581,4476706.308810952
655,KT4GOUT,37.269397,322016110011830,126.939903,14130885.363307541,4476724.07409871
657,KT4GOUT,37.269597,322016110052215,126.957864,14132884.772681678,4476752.050990573
661,KT4GOUT,37.269583,322015110041865,126.957834,14132881.433096955,4476750.092605724
662,KT4GOUT,37.269583,322012110020163,126.957834,14132881.433096955,4476750.092605724
668,KT4GOUT,37.26738,322015110038511,126.957323,14132824.54883716,4476441.931297933
669,KT4GOUT,37.267361,322015110004842,126.957306,14132822.656405816,4476439.273568264
671,KT4GOUT,37.268861,322016110052217,126.954575,14132518.642876461,4476649.096394964
672,KT4GOUT,37.268852,322012110020160,126.954563,14132517.307042569,4476647.837445539
673,KT4GOUT,37.268852,322015110041859,126.954563,14132517.307042569,4476647.837445539
675,KT4GOUT,37.267383,322016110052218,126.955489,14132620.388891043,4476442.35093952
676,KT4GOUT,37.267373,322012110020162,126.955463,14132617.494584283,4476440.952134292
677,KT4GOUT,37.267373,322015110041866,126.955463,14132617.494584283,4476440.952134292
680,KT4GOUT,37.2696,322018110015728,126.952928,14132335.299675122,4476752.470644517
681,KT4GOUT,37.269527,322017110056223,126.952479,14132285.317223756,4476742.259069969
684,KT4GOUT,37.266194,322016110070632,126.961967,14133341.516552404,4476276.0342999445
685,KT4GOUT,37.266403,322015110022277,126.957912,14132890.116017237,4476305.268910107
689,KT4GOUT,37.267356,322012110020165,126.960706,14133201.142674513,4476438.57416583
693,KT4GOUT,37.267381,322015110055555,126.960731,14133203.925661784,4476442.07117846
695,KT4GOUT,37.267381,322016110052237,126.960731,14133203.925661784,4476442.07117846
697,KT4GOUT,37.267502,322015110041864,126.958911,14133001.32418854,4476458.996735989
698,KT4GOUT,37.267502,322012110020164,126.958911,14133001.32418854,4476458.996735989
702,KT4GOUT,37.269527,322017110055437,126.952479,14132285.317223756,4476742.259069969
708,KT4GOUT,37.267303,322016110052219,126.953322,14132379.159554495,4476431.160502898
709,KT4GOUT,37.267291,322012110020161,126.953311,14132377.935040096,4476429.48193843
711,KT4GOUT,37.267291,322015110041855,126.953311,14132377.935040096,4476429.48193843
715,KT4GOUT,37.268058,322012110020159,126.952477,14132285.094584776,4476536.770721868
717,KT4GOUT,37.265544,322015110054899,126.954856,14132549.923653372,4476185.113782124
739,KT4GOUT,37.264932,322017110005637,126.95968,14133086.928876959,4476099.509334954
741,KT4GOUT,37.264932,322017110005537,126.95968,14133086.928876959,4476099.509334954
742,KT4GOUT,37.264932,322017110005538,126.95968,14133086.928876959,4476099.509334954
744,KT4GOUT,37.264932,322015110026579,126.95968,14133086.928876959,4476099.509334954
745,KT4GOUT,37.264932,322017110005636,126.95968,14133086.928876959,4476099.509334954
746,KT4GOUT,37.264932,322017110005536,126.95968,14133086.928876959,4476099.509334954
747,KT4GOUT,37.264932,322015110026578,126.95968,14133086.928876959,4476099.509334954
748,KT4GOUT,37.264932,322017110005638,126.95968,14133086.928876959,4476099.509334954
749,KT4GOUT,37.264939,322015110054896,126.95945,14133061.325394077,4476100.488466855
750,KT4GOUT,37.264939,322015110054894,126.95945,14133061.325394077,4476100.488466855
751,KT4GOUT,37.264939,322015110026577,126.95945,14133061.325394077,4476100.488466855
752,KT4GOUT,37.264939,322015110054893,126.95945,14133061.325394077,4476100.488466855
762,KT4GOUT,37.269619,322018110002160,126.9463,14131597.474090144,4476755.128453216
763,KT4GOUT,37.269619,322018110002129,126.9463,14131597.474090144,4476755.128453216
767,KT4GOUT,37.264587,322018110019197,126.951184,14132141.158483177,4476051.252232639
768,KT4GOUT,37.264587,322018110019195,126.951184,14132141.158483177,4476051.252232639
769,KT4GOUT,37.264587,322018110019198,126.951184,14132141.158483177,4476051.252232639
770,KT4GOUT,37.264587,322018110014615,126.951184,14132141.158483177,4476051.252232639
771,KT4GOUT,37.264587,322018110019194,126.951184,14132141.158483177,4476051.252232639
772,KT4GOUT,37.264587,322018110019196,126.951184,14132141.158483177,4476051.252232639
773,KT4GOUT,37.264587,322018110014613,126.951184,14132141.158483177,4476051.252232639
774,KT4GOUT,37.264587,322018110014614,126.951184,14132141.158483177,4476051.252232639
775,KT4GOUT,37.264587,322018110014616,126.951184,14132141.158483177,4476051.252232639
786,KT4GOUT,37.264901,322012110020158,126.948068,14131794.286949867,4476095.173180491
789,KT4GOUT,37.262373,322016110018720,126.91356,14127952.873961573,4475741.572785302
792,KT4GOUT,37.267008,322015110020214,126.920958,14128776.41555446,4476389.8958706055
795,KT4GOUT,37.269592,322015110078712,126.923606,14129071.189566081,4476751.351567373
801,KT4GOUT,37.270052,322015110013892,126.908872,14127431.008188736,4476815.6986964075
802,KT4GOUT,37.270072,322015110062735,126.908883,14127432.232703133,4476818.496406588
810,KT4GOUT,37.273451,322012110032200,126.921857,14128876.491776686,4477291.180211211
814,KT4GOUT,37.273764,322015110006604,126.907826,14127314.568001363,4477334.9664374795
816,KT4GOUT,37.260889,322014110083539,126.934651,14130300.713341895,4475534.005930142
817,KT4GOUT,37.267373,322017110037814,126.939273,14130815.232028339,4476440.952134292
819,KT4GOUT,37.267465,322015110036453,126.939497,14130840.16759428,4476453.821149396
820,KT4GOUT,37.267465,322015110037625,126.939497,14130840.16759428,4476453.821149396
829,KT4GOUT,37.268515,322017110037810,126.940023,14130898.721646436,4476600.696892061
834,KT4GOUT,37.26882,322016110052241,126.941913,14131109.115484035,4476643.361182136
835,KT4GOUT,37.26882,322015110040205,126.941913,14131109.115484035,4476643.361182136
836,KT4GOUT,37.26882,322015110040204,126.941913,14131109.115484035,4476643.361182136
841,KT4GOUT,37.268853,322017110037809,126.938564,14130736.30650937,4476647.977328801
846,KT4GOUT,37.268864,322015110007359,126.938575,14130737.531023767,4476649.516044806
847,KT4GOUT,37.268864,322015110037623,126.938575,14130737.531023767,4476649.516044806
848,KT4GOUT,37.268994,322016110052240,126.942419,14131165.443146378,4476667.700887336
851,KT4GOUT,37.264574,322012110032199,126.910879,14127654.426406756,4476049.433853397
857,KT4GOUT,37.261814,322015110051585,126.913094,14127900.999078864,4475663.385059862
861,KT4GOUT,37.262031,322015110056290,126.911806,14127757.619574722,4475693.736934456
863,KT4GOUT,37.268059,322012110032213,126.900839,14126536.778719192,4476536.9106036555
867,KT4GOUT,37.264299,322012110032205,126.903509,14126834.00175961,4476010.968212184
871,KT4GOUT,37.264524,322017110013425,126.892863,14125648.894460626,4476042.440090002
873,KT4GOUT,37.260211,322015110043405,126.954681,14132530.442742484,4475439.175533939
875,KT4GOUT,37.260503,322012110084420,126.955085,14132575.415816763,4475480.01683886
876,KT4GOUT,37.260564,322016110052239,126.955197,14132587.883599732,4475488.548775291
881,KT4GOUT,37.260973,322015110040162,126.955191,14132587.215682788,4475545.754888218
883,KT4GOUT,37.261003,322015110040161,126.955217,14132590.10998955,4475549.95094785
884,KT4GOUT,37.263149,322015110019434,126.956795,14132765.772146018,4475850.11341623
886,KT4GOUT,37.263153,322015110054895,126.956672,14132752.079848653,4475850.672906917
887,KT4GOUT,37.263153,322015110019431,126.956672,14132752.079848653,4475850.672906917
890,KT4GOUT,37.263467,322016110013653,126.956911,14132778.685206953,4475894.593018456
892,KT4GOUT,37.263467,322016110013654,126.956911,14132778.685206953,4475894.593018456
893,KT4GOUT,37.263467,322016110013656,126.956911,14132778.685206953,4475894.593018456
894,KT4GOUT,37.263467,322015110075374,126.956911,14132778.685206953,4475894.593018456
896,KT4GOUT,37.263467,322016110013655,126.956911,14132778.685206953,4475894.593018456
897,KT4GOUT,37.263467,322015110075377,126.956911,14132778.685206953,4475894.593018456
898,KT4GOUT,37.263467,322015110075389,126.956911,14132778.685206953,4475894.593018456
899,KT4GOUT,37.263519,322015110008175,126.956697,14132754.862835923,4475901.866430399
901,KT4GOUT,37.262711,322018110014567,126.960464,14133174.20335774,4475788.849365938
902,KT4GOUT,37.262711,322018110014639,126.960464,14133174.20335774,4475788.849365938
903,KT4GOUT,37.263172,322018110002133,126.959983,14133120.658682669,4475853.330488077
904,KT4GOUT,37.263172,322018110002164,126.959983,14133120.658682669,4475853.330488077
909,KT4GOUT,37.262072,322018110002163,126.961092,14133244.11199796,4475699.471630262
910,KT4GOUT,37.262072,322018110002132,126.961092,14133244.11199796,4475699.471630262
918,KT4GOUT,37.260544,322015110002090,126.960975,14133231.087617537,4475485.751418324
919,KT4GOUT,37.262169,322018110002134,126.959117,14133024.256003642,4475713.039093744
920,KT4GOUT,37.262169,322018110002165,126.959117,14133024.256003642,4475713.039093744
926,KT4GOUT,37.259567,322012110084419,126.954218,14132478.901818246,4475349.101434816
928,KT4GOUT,37.259636,322016110052238,126.954342,14132492.705435105,4475358.752194314
930,KT4GOUT,37.259863,322015110037624,126.961192,14133255.243947037,4475390.501856786
931,KT4GOUT,37.259863,322016110002936,126.961192,14133255.243947037,4475390.501856786
938,KT4GOUT,37.259863,322015110037626,126.961192,14133255.243947037,4475390.501856786
947,KT4GOUT,37.259863,322015110033108,126.961192,14133255.243947037,4475390.501856786
948,KT4GOUT,37.259881,322015110081250,126.961128,14133248.119499628,4475393.0194552615
949,KT4GOUT,37.259881,322015110081254,126.961128,14133248.119499628,4475393.0194552615
950,KT4GOUT,37.259881,322015110081253,126.961128,14133248.119499628,4475393.0194552615
960,KT4GOUT,37.260265,322015110040079,126.952563,14132294.668060983,4475446.728366066
961,KT4GOUT,37.260265,852015110007933,126.952563,14132294.668060983,4475446.728366066
962,KT4GOUT,37.260265,322015110040080,126.952563,14132294.668060983,4475446.728366066
967,KT4GOUT,37.260477,322015110040207,126.952109,14132244.12901216,4475476.380277891
968,KT4GOUT,37.260477,322015110073965,126.952109,14132244.12901216,4475476.380277891
969,KT4GOUT,37.260477,322015110040209,126.952109,14132244.12901216,4475476.380277891
970,KT4GOUT,37.260477,322015110040208,126.952109,14132244.12901216,4475476.380277891
971,KT4GOUT,37.260598,322012110020167,126.952614,14132300.345355013,4475493.304283844
980,KT4GOUT,37.262578,322014110073707,126.943411,14131275.872081243,4475770.246425754
983,KT4GOUT,37.262589,322012110020157,126.943376,14131271.975899065,4475771.785013545
986,KT4GOUT,37.254145,322018110014657,126.960651,14133195.020102518,4474590.775190616
988,KT4GOUT,37.254145,322018110017644,126.960651,14133195.020102518,4474590.775190616
989,KT4GOUT,37.254145,322018110017645,126.960651,14133195.020102518,4474590.775190616
990,KT4GOUT,37.253917,322018110014643,126.960578,14133186.893779691,4474558.888082549
992,KT4GOUT,37.258533,852017110007198,126.955484,14132619.832293589,4475204.480967322
999,KT4GOUT,37.253856,322018110014642,126.959517,14133068.783799961,4474550.356898948
1000,KT4GOUT,37.254008,322018110014641,126.958497,14132955.237919351,4474571.614943055
1006,KT4GOUT,37.258235,322016110006375,126.950325,14132045.535040587,4475162.801549278
1007,KT4GOUT,37.258235,322015110039934,126.950325,14132045.535040587,4475162.801549278
1013,KT4GOUT,37.249663,322012110032224,126.951999,14132231.883868176,4473963.959473038
1016,KT4GOUT,37.249694,322015110044463,126.951967,14132228.32164447,4473968.294750435
1019,KT4GOUT,37.252044,322015110035870,126.948708,14131865.531423975,4474296.94193942
1021,KT4GOUT,37.249773,322014110021019,126.949135,14131913.064846544,4473979.34272348
1025,KT4GOUT,37.251693,322015110006434,126.945208,14131475.913206197,4474247.853984695
1027,KT4GOUT,37.251689,322015110035872,126.945136,14131467.89820286,4474247.29457912
1031,KT4GOUT,37.253501,322015110035873,126.938768,14130759.01568549,4474500.708344569
